Player,height,weight,collage,born,birth_city,birth_state
Pickles Kennedy,180,81,Temple University,1938,Philadelphia,Pennsylvania
Phil Zevenbergen,208,104,University of Washington,1964,Seattle,Washington
Phil Walker,190,81,Millersville University of Pennsylvania,1956,Philadelphia,Pennsylvania
Phil Smith,193,83,University of San Francisco,1952,San Francisco,California
Phil Sellers,193,88,Rutgers University,1953,Brooklyn,New York
Phil Rollins,188,83,University of Louisville,1934,Wickliffe,Kentucky
Phil Pressey,180,79,University of Missouri,1991,Dallas,Texas
Phil Martin,190,86,University of Toledo,1928,,
Phil Lumpkin,183,74,Miami University,1951,Dayton,Ohio
Phil Jordon,208,92,Whitworth,1933,Lakeport,California
Phil Jackson*,203,99,University of North Dakota,1945,Deer Lodge,Montana
Phil Hubbard,203,97,University of Michigan,1956,Canton,Ohio
Phil Hicks,201,92,Tulane University,1953,Chicago,Illinois
Phil Hankinson,203,88,University of Pennsylvania,1951,Augusta,Georgia
Phil Ford,188,79,University of North Carolina,1956,Rocky Mount,North Carolina
Phil Chenier,190,81,University of California,1950,Berkeley,California
Phil Bond,188,79,University of Louisville,1954,Louisville,Kentucky
Peyton Siva,183,83,University of Louisville,1990,Seattle,Washington
Petur Gudmundsson,218,117,University of Washington,1958,Reykjavik,Iceland
Peter Thibeaux,201,95,Saint Mary's College of California,1961,Los Angeles,California
Peter John,226,117,,1985,,
Peter Aluma,208,117,Liberty University,1973,Lagos,Nigeria
Pete Williams,201,86,University of Arizona,1965,Harbor City,California
Pete Verhoeven,206,97,"California State University, Fresno",1959,Hanford,California
Pete Myers,198,81,University of Arkansas at Little Rock,1963,Mobile,Alabama
Pete Maravich*,196,89,Louisiana State University,1947,Aliquippa,Pennsylvania
Pete Darcey,201,98,Oklahoma State University,1930,,
Pete Cross,206,104,University of San Francisco,1948,,
Pete Chilcutt,208,104,University of North Carolina,1968,Sumter,South Carolina
Pete Brennan,198,92,University of North Carolina,1936,Brooklyn,New York
Pervis Ellison,206,95,University of Louisville,1967,Savannah,Georgia
Perry Young,196,95,Virginia Polytechnic Institute and State University,1963,Baltimore,Maryland
Perry Warbington,188,74,Georgia Southern University,1952,Atlabta,Georgia
Perry Moss,188,83,Northeastern University,1958,Tucson,Arizona
Perry Jones,211,106,Baylor University,1991,Winnsboro,Louisiana
Pero Antic,211,117,,1982,Skopje,FYR Macedonia
Pepe Sanchez,193,88,Temple University,1977,Bahia Blanca,Argentina
Pep Saul,188,83,Seton Hall University,1924,,
Peja Stojakovic,206,99,,1977,Slavoska Pozega ,Croatia
Pearl Washington,188,86,Syracuse University,1964,Brooklyn,New York
Pavel Podkolzin,226,117,,1985,Novosibirsk,Russia
Paul Zipser,203,97,,1994,Heidelberg,Germany
Paul Westphal,193,88,University of Southern California,1950,Torrance,California
Paul Walther,188,72,University of Tennessee,1927,Covington,Kentucky
Paul Thompson,198,95,Tulane University,1961,Smyrna,Tennessee
Paul Stovall,193,97,Arizona State University,1948,,
Paul Silas,201,99,Creighton University,1943,Prescott,Arkansas
Paul Shirley,208,104,Iowa State University,1977,Meriden,Kansas
Paul Seymour,185,81,University of Toledo,1928,Toledo,Ohio
Paul Ruffner,208,102,Brigham Young University,1948,Downey,California
Paul Pressey,196,83,University of Tulsa,1958,Richmond,Virginia
Paul Pierce,201,106,University of Kansas,1977,Oakland,California
Paul Nolen,211,106,Texas Tech University,1929,,
Paul Noel,193,83,University of Kentucky,1924,Midway,Kentucky
Paul Neumann,185,79,Stanford University,1938,,
Paul Mokeski,213,113,University of Kansas,1957,Spokane,Washington
Paul Millsap,203,111,Louisiana Tech University,1985,Monroe,Louisiana
Paul McPherson,193,95,DePaul University,1978,Chicago,Illinois
Paul McCracken,193,81,"California State University, Northridge",1950,New York,New York
Paul Long,188,81,Wake Forest University,1944,Louisville,Kentucky
Paul Hogue,203,87,,1940,,
Paul Hoffman,188,88,Purdue University,1925,,
Paul Griffin,206,92,Western Michigan University,1954,Shelby,Michigan
Paul Grant,213,111,University of Wisconsin,1974,Pittsburgh,Pennsylvania
Paul Graham,198,90,Ohio University,1967,Philadelphia,Pennsylvania
Paul Gordon,190,83,University of Notre Dame,1927,,
Paul George,206,99,"California State University, Fresno",1990,Palmdale,California
Paul Dawkins,196,86,Northern Illinois University,1957,Saginaw,Michigan
Paul Davis,211,122,Michigan State University,1984,Detroit,Michigan
Paul Cloyd,188,81,University of Wisconsin,1920,,
Paul Arizin*,193,86,Villanova University,1928,Philadelphia,Pennsylvania
Pau Gasol,213,113,,1980,Barcelona,Spain
Patty Mills,203,111,Louisiana Tech University,1985,Monroe,Louisiana
Patrick Patterson,206,104,University of Kentucky,1989,Washington,District of Columbia
Patrick O'Bryant,213,117,Bradley University,1986,Oskaloosa,Iowa
Patrick McCaw,201,83,"University of Nevada, Las Vegas",1995,St. Louis,Missouri
Patrick Ewing*,213,108,Georgetown University,1962,Kingston,Jamaica
Patrick Ewing,213,108,Georgetown University,1962,Kingston,Jamaica
Patrick Eddie,211,108,University of Mississippi,1967,Milwaukee,Wisconsin
Patrick Christopher,196,94,University of California,1988,Compton,California
Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois
Patricio Garino,198,95,George Washington University,1993,Buenos Aires,Argentina
Pat Riley*,193,92,University of Kentucky,1945,Rome,New York
Pat Garrity,206,107,University of Notre Dame,1976,Las Vegas,Nevada
Pat Frink,193,88,University of Colorado,1945,,
Pat Durham,201,95,Colorado State University,1967,Dallas,Texas
Pat Dunn,188,77,Utah State University,1931,,
Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania
Pat Connaughton,196,93,University of Notre Dame,1993,Arlington,Massachusetts
Pat Burke,211,113,Auburn University,1973,Dublin,Ireland
Pascal Siakam,206,104,New Mexico State University,1994,Douala,Cameroon
Pape Sy,201,102,,1988,Loudeac,France
Pape Sow,208,113,"California State University, Fullerton",1981,Dakar,Senegal
Pace Mannion,201,86,University of Utah,1960,Salt Lake City,Utah
Pablo Prigioni,190,83,,1977,Rio Tercero,Argentina
P.J. Tucker,206,97,,1986,,
P.J. Hairston,206,102,,1990,,
P.J. Brown,229,106,,1972,,
Ozell Jones,211,106,"California State University, Fullerton",1960,Long Beach,California
Owen Wells,201,90,University of Detroit Mercy,1950,Providence,Rhode Island
Otto Porter,203,89,Georgetown University,1993,St. Louis,Missouri
Otto Moore,211,92,University of Texas-Pan American,1946,Miami,Florida
Otis Thorpe,206,102,Providence College,1962,Boynton Beach,Florida
Otis Smith,196,95,Jacksonville University,1964,Jacksonville,Florida
Otis Howard,201,99,Austin Peay State University,1956,Oak Ridge,Tennessee
Otis Birdsong,190,86,University of Houston,1955,Winter Haven,Florida
Othyus Jeffers,196,90,Robert Morris University (IL),1985,Chicago,Illinois
Othello Hunter,203,102,Ohio State University,1986,Winston-Salem,North Carolina
Othella Harrington,206,106,Georgetown University,1974,Jackson,Mississippi
Othell Wilson,183,86,University of Virginia,1961,Alexandria,Virginia
Oscar Torres,198,95,,1976,Caracas,Venezuela
Oscar Robertson*,196,92,University of Cincinnati,1938,Charlotte,Tennessee
Orlando Woolridge,206,97,University of Notre Dame,1959,Bernice,Louisiana
Orlando Johnson,196,99,"University of California, Santa Barbara",1989,Monterey,California
Orlando Graham,203,99,Auburn University at Montgomery,1965,Montgomery,Alabama
Orien Greene,193,94,University of Louisiana at Lafayette,1982,Gainesville,Florida
Omri Casspi,206,102,,1988,Holon,Israel
Omer Asik,213,115,,1986,Bursa,Turkey
Omar Cook,185,86,St. John's University,1982,Brooklyn,New York
Olumide Oyedeji,208,108,,1981,Ibadan,Nigeria
Ollie Mack,190,83,East Carolina University,1957,New York,New York
Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania
Oliver Robinson,193,81,University of Alabama at Birmingham,1960,Birmingham,Alabama
Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas
Oliver Lafayette,188,86,University of Houston,1984,Baton Rouge,Louisiana
Oleksiy Pecherov,213,105,,1985,Donetsk,Ukraine
Olden Polynice,211,99,University of Virginia,1964,Port-au-Prince,Haiti
Okaro White,203,92,Florida State University,1992,Clearwater,Florida
Ognjen Kuzmic,216,113,,1990,Doboj,Bosnia and Herzegovina
Odis Allison,198,88,"University of Nevada, Las Vegas",1949,,
Odie Spears,196,92,Western Kentucky University,1925,,
Obinna Ekezie,206,122,University of Maryland,1975,Port Harcourt,Nigeria
O.J. Mayo,201,99,,1984,,
Norton Barnhill,193,92,Washington State University,1953,Winston-Salem,North Carolina
Norris Coleman,203,95,Kansas State University,1961,Jacksonville,Florida
Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio
Normie Glick,201,86,Loyola Marymount University,1927,,
Norman Powell,193,97,"University of California, Los Angeles",1993,San Diego,California
Norman Black,196,83,Saint Joseph's University,1957,Baltimore,Maryland
Norm Van,196,86,,1939,,
Norm Swanson,198,95,University of Detroit Mercy,1930,Chicago,Illinois
Norm Stewart,196,92,University of Missouri,1935,Leonard,Missouri
Norm Richardson,196,86,Hofstra University,1979,Brooklyn,New York
Norm Nixon,188,77,Duquesne University,1955,Macon,Georgia
Norm Mager,196,83,City College of New York,1926,,
Norm Grekin,196,81,La Salle University,1930,Philadelphia,Pennsylvania
Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois
Nolan Smith,188,83,Duke University,1988,Louisville,Kentucky
Noel Felix,206,102,"California State University, Fresno",1981,Los Angeles,California
Noble Jorgensen,206,103,University of Iowa,1925,,
Noah Vonleh,208,108,Indiana University,1995,Haverhill,Massachusetts
Nikoloz Tskitishvili,213,102,,1983,Tbilisi,Georgia
Nikola Vucevic,213,117,University of Southern California,1990,Morges,Switzerland
Nikola Pekovic,211,139,,1986,Bijelo Polje,Montenegro
Nikola Mirotic,208,99,,1991,Podgorica,Montenegro
Nikola Jokic,208,113,,1995,Sombor,Serbia
Nikita Wilson,203,90,Louisiana State University,1964,Pineville,Louisiana
Nik Stauskas,198,92,University of Michigan,1993,Mississauga,Canada
Nicolas Laprovittola,193,81,,1990,Buenos Aires,Argentina
Nicolas Brussino,201,88,,1993,Santa Fe,Argentina
Nicolas Batum,203,90,,1988,Lisieux,France
Nick Young,201,95,University of Southern California,1985,Los Angeles,California
Nick Weatherspoon,201,88,University of Illinois at Urbana-Champaign,1950,Greenwood,Mississippi
Nick Vanos,216,115,Santa Clara University,1963,San Mateo,California
Nick Van,211,113,,1970,,
Nick Mantis,190,86,Northwestern University,1935,,
Nick Jones,188,86,University of Oregon,1945,,
Nick Johnson,190,91,University of Arizona,1992,Tempe,Arizona
Nick Fazekas,211,106,"University of Nevada, Reno",1985,Denver,Colorado
Nick Collison,208,115,University of Kansas,1980,Orange City,Iowa
Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida
Nick Anderson,198,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Nerlens Noel,211,103,University of Kentucky,1994,Malden,Massachusetts
Nene Hilario,211,113,,1982,Sao Carlos,Brazil
Nenad Krstic,213,108,,1983,Kraljevo,Serbia
Nemanja Nedovic,190,87,,1991,Nova Varos,Serbia
Nemanja Bjelica,208,108,,1988,Belgrade,Serbia
Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
Neil Johnston*,203,95,Ohio State University,1929,Chillicothe,Ohio
Neil Johnson,203,95,Ohio State University,1929,Chillicothe,Ohio
Negele Knight,185,79,University of Dayton,1967,Detroit,Michigan
Neal Walk,208,99,University of Florida,1948,Cleveland,Ohio
Ndudi Ebi,206,90,,1984,London,United Kingdom
Nazr Mohammed,208,100,University of Kentucky,1977,Chicago,Illinois
Nathan Jawai,208,127,Midland College,1986,Sydney,Australia
Nate Wolters,193,86,South Dakota State University,1991,St. Cloud,Minnesota
Nate Williams,196,97,Utah State University,1950,Columbia,Louisiana
Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio
Nate Robinson,175,81,University of Washington,1984,Seattle,Washington
Nate McMillan,196,88,North Carolina State University,1964,Raleigh,North Carolina
Nate Johnston,203,95,University of Tampa,1966,Birmingham,Alabama
Nate Huffman,216,111,Central Michigan University,1975,Battle Creek,Michigan
Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois
Nate Driggers,196,97,University of Montevallo,1973,Chicago,Illinois
Nate DeLong,198,99,University of Wisconsin-River Falls,1926,,
Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas
Nate Blackwell,193,77,Temple University,1965,Philadelphia,Pennsylvania
Nat Clifton*,198,99,Xavier University of Louisiana,1922,Little Rock,Arkansas
Nando De,206,97,,1968,,
nan,,,nan,,,
Myron Jackson,190,83,University of Arkansas at Little Rock,1964,Hamburg,Arkansas
Myron Brown,190,81,Slippery Rock University of Pennsylvania,1969,McKees Rocks,Pennsylvania
Myles Turner,211,110,University of Texas at Austin,1996,Bedford,Texas
Myles Patrick,203,99,Auburn University,1954,Macon,Georgia
Mychel Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania
Murray Wier,175,70,University of Iowa,1926,Grand View,Iowa
Murray Mitchell,201,95,Sam Houston State University,1923,,
Muggsy Bogues,160,61,Wake Forest University,1965,Baltimore,Maryland
Mouhamed Sene,201,99,,1984,,
Moses Malone*,208,97,,1955,Petersburg,Virginia
Morris Peterson,201,98,Michigan State University,1977,Flint,Michigan
Morris Almond,198,102,Rice University,1985,Dalton,Georgia
Morlon Wiley,193,83,"California State University, Long Beach",1966,New Orleans,Louisiana
Mookie Blaylock,183,81,University of Oklahoma,1967,Garland,Texas
Moochie Norris,185,79,University of West Florida,1973,Washington,District of Columbia
Monty Williams,203,102,University of Notre Dame,1971,Fredericksburg,Virginia
Montrezl Harrell,203,108,University of Louisville,1994,Tarboro,North Carolina
Monti Davis,201,92,Tennessee State University,1958,Warren,Ohio
Monte Towe,170,68,North Carolina State University,1953,Marion,Indiana
Monta Ellis,190,83,,1985,Jackson,Mississippi
Monk Meineke,201,94,University of Dayton,1930,Dayton,Ohio
Moe Radovich,183,72,University of Wyoming,1929,,
Moe Barr,193,88,Duquesne University,1944,,
Mo Williams,203,102,University of Notre Dame,1971,Fredericksburg,Virginia
Mo Mahoney,188,92,Brown University,1927,,
Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey
Mo Howard,188,77,University of Maryland,1954,Philadelphia,Pennsylvania
Mitchell Wiggins,193,83,Florida State University,1959,Lenoir County,North Carolina
Mitchell Butler,188,77,University of Memphis,1946,Memphis,Tennessee
Mitch Richmond*,196,97,Kansas State University,1965,Fort Lauderdale,Florida
Mitch McGary,208,115,University of Michigan,1992,Chesterton,Indiana
Mitch Kupchak,206,104,University of North Carolina,1954,Hicksville,New York
Mirza Teletovic,206,109,,1985,Mostar,Bosnia and Herzegovina
Mirsad Turkcan,206,107,,1976,Novi Pazar,Serbia
Miroslav Raduljica,213,113,,1988,Belgrade,Serbia
Mindaugas Kuzminskas,206,97,,1989,Vilnius,Lithuania
Milt Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
Milt Wagner,196,83,University of Louisville,1963,Camden,New Jersey
Milt Schoon,201,104,Valparaiso University,1922,,
Milt Palacio,190,88,Colorado State University,1978,Los Angeles,California
Milos Babic,213,108,Tennessee Technological University,1968,Kraljevo,Serbia
Milo Komenich,201,96,University of Wyoming,1920,,
Miles Simon,190,91,University of Arizona,1975,Stockholm,Sweden
Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
Mile Ilic,216,104,,1984,Tuzla,Bosnia and Herzegovina
Mikki Moore,211,102,University of Nebraska,1975,Orangeburg,South Carolina
Mike Woodson,196,88,Indiana University,1958,Indianapolis,Indiana
Mike Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
Mike Wilks,178,83,Rice University,1979,Milwaukee,Wisconsin
Mike Todorovich,196,99,University of Wyoming,1923,,
Mike Tobey,213,117,University of Virginia,1994,Monroe,New York
Mike Taylor,188,74,Iowa State University,1986,Chicago,Illinois
Mike Sweetney,203,124,Georgetown University,1982,Oxon Hill,Maryland
Mike Sojourner,206,102,University of Utah,1953,Philadelphia,Pennsylvania
Mike Smrek,213,113,Canisius College,1962,Welland,Canada
Mike Smith,208,102,Brigham Young University,1965,Rochester,New York
Mike Silliman,198,102,United States Military Academy,1944,Louisville,Kentucky
Mike Scott,203,107,University of Virginia,1988,Chesapeake,Virginia
Mike Sanders,198,95,"University of California, Los Angeles",1960,Vidalia,Louisiana
Mike Riordan,193,90,Providence College,1945,New York,New York
Mike Ratliff,208,104,University of Wisconsin-Eau Claire,1951,New Albany,Mississippi
Mike Price,190,90,University of Illinois at Urbana-Champaign,1948,Russellville,Kentucky
Mike Peplowski,208,122,Michigan State University,1970,Detroit,Michigan
Mike Penberthy,190,83,Master's College,1974,Los Gatos,California
Mike O'Neill,190,95,University of California,1928,,
Mike O'Koren,201,93,University of North Carolina,1958,Jersey City,New Jersey
Mike Novak,206,99,Loyola University of Chicago,1915,Chicago,Illinois
Mike Niles,198,102,"California State University, Fullerton",1955,Los Angeles,California
Mike Newlin,193,90,University of Utah,1949,Portland,Oregon
Mike Muscala,211,108,Bucknell University,1991,St. Louis Park,Minnesota
Mike Morrison,193,88,Loyola College in Maryland,1967,Washington,District of Columbia
Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia
Mike Miller,203,98,University of Florida,1980,Mitchell,South Dakota
Mike McGee,196,86,University of Michigan,1959,Tyler,Texas
Mike McCarron,180,81,Seton Hall University,1922,,
Mike Macaluso,196,95,Canisius College,1951,,
Mike Lynn,201,97,"University of California, Los Angeles",1945,Covina,California
Mike Kearns,188,80,Princeton University,1929,Trenton,New Jersey
Mike James,188,85,Duquesne University,1975,Copaigue,New York
Mike Iuzzolino,178,79,Saint Francis University,1968,Altoona,Pennsylvania
Mike Holton,193,83,"University of California, Los Angeles",1961,Seattle,Washington
Mike Higgins,206,99,University of Northern Colorado,1967,Grand Island,Nebraska
Mike Harris,198,108,Rice University,1983,Hillsboro,Texas
Mike Harper,208,88,North Park University,1957,Chicago,Illinois
Mike Hall,203,104,George Washington University,1984,Chicago,Illinois
Mike Green,208,90,Louisiana Tech University,1951,McComb,Mississippi
Mike Gminski,211,113,Duke University,1959,Monroe,Connecticut
Mike Glenn,188,79,Southern Illinois University,1955,Rome,Georgia
Mike Gibson,208,92,University of South Carolina Upstate,1960,Williamsburg County,South Carolina
Mike Gale,193,83,Elizabeth City State University,1950,Philadelphia,Pennsylvania
Mike Flynn,188,81,University of Kentucky,1953,Casablanca,Morocco
Mike Farmer,201,95,University of San Francisco,1936,Oklahoma City,Oklahoma
Mike Evans,185,77,Kansas State University,1955,Goldsboro,North Carolina
Mike Dunleavy,190,81,University of South Carolina,1954,Brooklyn,New York
Mike Davis,190,83,Virginia Union University,1946,Brooklyn,New York
Mike D'Antoni,190,83,Marshall University,1951,Mullens,West Virginia
Mike Conley,185,79,Ohio State University,1987,Fayetteville,Arkansas
Mike Champion,208,104,Gonzaga University,1964,Everett,Washington
Mike Brown,206,116,George Washington University,1963,Newark,New Jersey
Mike Brittain,213,106,University of South Carolina,1963,Clearwater,Florida
Mike Bratz,188,83,Stanford University,1955,Lompoc,California
Mike Bibby,185,86,University of Arizona,1978,Cherry Hill,New Jersey
Mike Batiste,203,102,Arizona State University,1977,Long Beach,California
Mike Barr,190,81,Duquesne University,1950,Canton,Ohio
Mike Bantom,206,90,Saint Joseph's University,1951,Philadelphia,Pennsylvania
Mickey Johnson,208,86,Aurora University,1952,Chicago,Illinois
Mickey Dillard,190,77,Florida State University,1958,Hollywood,Florida
Mickey Davis,190,83,Virginia Union University,1946,Brooklyn,New York
Mickell Gladness,211,99,Alabama A&M University,1986,Birmingham,Alabama
Mickael Pietrus,198,97,,1982,Les Abymes,Guadeloupe
Mickael Gelabale,201,97,,1983,Pointe Noire,Guadeloupe
Micheal Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
Micheal Ray,198,85,,1955,,
Michael Young,201,99,University of Houston,1961,Houston,Texas
Michael Wilson,193,79,Marquette University,1959,Memphis,Tennessee
Michael Wiley,206,90,"California State University, Long Beach",1957,Long Beach,California
Michael Stewart,208,104,University of California,1975,Cucq-Trepied-Stella-Plage,France
Michael Smith,208,102,Brigham Young University,1965,Rochester,New York
Michael Ruffin,206,111,University of Tulsa,1977,Denver,Colorado
Michael Redd,198,99,Ohio State University,1979,Columbus,Ohio
Michael Phelps,193,81,Alcorn State University,1961,Vicksburg,Mississippi
Michael Olowokandi,213,122,University of the Pacific,1975,Lagos,Nigeria
Michael McDonald,208,105,University of New Orleans,1969,Longview,Texas
Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
Michael Jordan*,198,88,University of North Carolina,1963,Brooklyn,New York
Michael Jackson,201,97,"California State University, Los Angeles",1949,Washington,District of Columbia
Michael Hawkins,183,80,Xavier University,1972,Canton,Ohio
Michael Gbinije,201,90,Syracuse University,1992,Hartford,Connecticut
Michael Finley,201,97,University of Wisconsin,1973,Melrose Park,Illinois
Michael Doleac,211,118,University of Utah,1977,San Antonio,Texas
Michael Dickerson,196,86,University of Arizona,1975,Greenville,South Carolina
Michael Curry,196,95,Georgia Southern University,1968,Anniston,Alabama
Michael Cooper,196,77,University of New Mexico,1956,Los Angeles,California
Michael Carter-Williams,198,86,Syracuse University,1991,Hamilton,Massachusetts
Michael Cage,206,101,San Diego State University,1962,West Memphis,Arkansas
Michael Brooks,201,99,La Salle University,1958,Philadelphia,Pennsylvania
Michael Bradley,208,111,Villanova University,1979,Worcester,Massachusetts
Michael Beasley,206,106,Kansas State University,1989,Frederick,Maryland
Michael Ansley,201,102,University of Alabama,1967,Birmingham,Alabama
Michael Anderson,180,83,Drexel University,1966,Philadelphia,Pennsylvania
Michael Adams,178,73,Boston College,1963,Hartford,Connecticut
Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
Metta World,190,81,,1974,,
Mengke Bateer,211,131,,1975,Beijing,China
Melvin Turpin,211,108,University of Kentucky,1960,Lexington,Kentucky
Melvin Sanders,196,95,Oklahoma State University,1981,Liberal,Kansas
Melvin Newbern,193,90,University of Minnesota,1967,Toledo,Ohio
Melvin Ely,208,117,"California State University, Fresno",1978,Harvey,Illinois
Melvin Booker,185,83,University of Missouri,1972,Pascagoula,Mississippi
Mel Peterson,193,83,Wheaton College,1938,Thief River Falls,Minnesota
Mel Payton,193,83,Tulane University,1926,,
Mel Nowell,188,77,Ohio State University,1939,,
Mel McCants,203,108,Purdue University,1967,Chicago,Illinois
Mel Hutchins,198,90,Brigham Young University,1928,Sacramento,California
Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina
Mel Davis,198,99,St. John's University,1950,New York,New York
Mel Daniels*,206,99,University of New Mexico,1944,Detroit,Michigan
Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon
Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania
Mehmet Okur,211,112,,1979,Yalova,Turkey
Med Park,188,92,University of Missouri,1933,Britton,South Dakota
McKinley Singleton,196,79,University of Alabama at Birmingham,1961,Memphis,Tennessee
McCoy McLemore,201,104,Drake University,1942,Houston,Texas
McCoy Ingram,203,95,Jackson State University,1931,,
Max Zaslofsky,188,77,St. John's University,1925,Brooklyn,New York
Max Morris,188,88,Northwestern University,1925,,
Maury King,188,88,University of Kansas,1935,,
Maurice Taylor,206,117,University of Michigan,1976,Detroit,Michigan
Maurice Stokes*,201,105,Saint Francis University,1933,Pittsburgh,Pennsylvania
Maurice Ndour,206,90,Ohio University,1992,Sindia,Senegal
Maurice Martin,198,90,Saint Joseph's University,1964,Liberty,New York
Maurice Lucas,206,97,Marquette University,1952,Pittsburgh,Pennsylvania
Maurice Harkless,206,97,St. John's University,1993,Queens,New York
Maurice Evans,196,99,University of Texas at Austin,1978,Wichita,Kansas
Maurice Cheeks,185,81,West Texas A&M University,1956,Chicago,Illinois
Maurice Carter,196,95,Louisiana State University,1976,Jackson,Mississippi
Maurice Baker,185,79,Oklahoma State University,1979,Granite City,Illinois
Maurice Ager,196,91,Michigan State University,1984,Detroit,Michigan
Matthew Dellavedova,193,89,Saint Mary's College of California,1990,Maryborough,Australia
Matt Wenstrom,216,113,University of North Carolina,1970,Minneapolis,Minnesota
Matt Walsh,198,92,University of Florida,1982,Holland,Pennsylvania
Matt Steigenga,201,102,Michigan State University,1970,Grand Rapids,Michigan
Matt Othick,188,74,University of Arizona,1969,Clovis,New Mexico
Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
Matt Maloney,190,87,University of Pennsylvania,1971,Silver Spring,Maryland
Matt Harpring,201,104,Georgia Institute of Technology,1976,Cincinnati,Ohio
Matt Guokas,190,88,Saint Joseph's University,1915,,
Matt Geiger,213,110,Georgia Institute of Technology,1969,Salem,Massachusetts
Matt Freije,208,108,Vanderbilt University,1981,Overland Park,Kansas
Matt Fish,211,106,University of North Carolina at Wilmington,1969,Washington,Iowa
Matt Carroll,198,96,University of Notre Dame,1980,Pittsburgh,Pennsylvania
Matt Bullard,208,97,University of Iowa,1967,Des Moines,Iowa
Matt Bonner,208,106,University of Florida,1980,Concord,New Hampshire
Matt Barnes,203,95,Providence College,1952,Providence,Rhode Island
Mateen Cleaves,188,92,Michigan State University,1977,Flint,Michigan
Mason Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
Marvin Williams,185,89,University of Alabama,1982,Jackson,Mississippi
Marvin Webster,216,102,Morgan State University,1952,Baltimore,Maryland
Marvin Barnes,203,95,Providence College,1952,Providence,Rhode Island
Marv Winkler,185,74,University of Louisiana at Lafayette,1948,,
Marv Schatzman,196,90,Saint Louis University,1927,,
Marv Roberts,203,90,Utah State University,1950,Brooklyn,New York
Martynas Andriuskevicius,218,108,,1986,Kaunas,Lithuania
Marty Conlon,208,101,Providence College,1968,Bronx,New York
Marty Byrnes,201,97,Syracuse University,1956,Syracuse,New York
Martin Nessley,218,117,Duke University,1965,Columbus,Ohio
Martin Muursepp,206,106,,1974,Tallinn,Estonia
Martin Lewis,196,95,Seward County Community College,1975,Liberal,Kansas
Martell Webster,216,102,Morgan State University,1952,Baltimore,Maryland
MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey
Marshall Rogers,185,86,University of Texas-Pan American,1953,St. Louis,Missouri
Marshall Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
Marreese Speights,208,115,University of Florida,1987,St. Petersburg,Florida
Marquis Teague,188,85,University of Kentucky,1993,Indianapolis,Indiana
Marquis Daniels,198,90,Auburn University,1981,Jasper,Florida
Marquese Chriss,208,105,University of Washington,1997,Sacramento,California
Marques Johnson,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
Marques Bragg,203,104,Providence College,1970,East Orange,New Jersey
Marlon Redmond,198,85,University of San Francisco,1955,San Francisco,California
Marlon Maxey,203,113,University of Texas at El Paso,1969,Chicago,Illinois
Marlon Garnett,188,84,Santa Clara University,1975,Los Angeles,California
Marko Milic,198,106,,1977,Kranj,Slovenia
Marko Jaric,201,89,,1978,Belgrade,Serbia
Markieff Morris,188,88,Northwestern University,1925,,
Markel Brown,190,83,Murray State University,1974,West Memphis,Arkansas
Mark Workman,206,97,West Virginia University,1930,Charleston,West Virginia
Mark West,208,104,Old Dominion University,1960,Petersburg,Virginia
Mark Wade,180,72,"University of Nevada, Las Vegas",1965,Torrance,California
Mark Strickland,206,95,Temple University,1970,Atlanta,Georgia
Mark Sibley,188,79,Northwestern University,1950,,
Mark Randall,203,106,University of Kansas,1967,Edina,Minnesota
